name	category	price	lat	lng	address
Kato	Taiwanese Cuisine	$$$$	34.0341348	-118.2410431	777 S Alameda St Building 1, Unit 114, Los Angeles, CA 90021, United States
One Piece Cafe	Themed Cafe		34.0484118	-118.2422969	241 S San Pedro St, Los Angeles, CA  90012, United States
Petitgrain Boulangerie	Bakery	$$$	34.0255735	-118.4906082	1209 Wilshire Blvd, Santa Monica, CA  90403, United States
Fondry	Bakery	$	34.1229877	-118.2128506	4703 York Blvd, Los Angeles, CA  90042, United States
République	French Cuisine		34.0641327	-118.3437403	624 S La Brea Ave, Los Angeles, CA 90036, United States
House of Bread	Bakery	$$	34.0480787	-118.4351971	1906 Westwood Blvd, Los Angeles, CA  90025, United States
Artelice Patisserie	Bakery	$$	34.0381023	-118.4417796	11301 W Olympic Blvd, Unit 123, Los Angeles, CA 90064, United States
Copenhagen Pastry	Bakery	$$	34.0093429	-118.4120339	11113 Washington Blvd, Culver City, CA 90232, United States
Des Croissants Paris	Bakery		34.0308841	-118.3802998	8539 W Washington Blvd, Culver City, CA  90232, United States
Hi Bake	Pastry Shop		34.0684478	-118.3989594	235 N Canon Dr, Beverly Hills, CA  90210, United States
Hakone Estate and Gardens	Japanese Garden		37.2525822	-122.0419171	21000 Big Basin Way, Saratoga, CA  95070, United States
Hama Sushi	Sushi Restaurant	$$$	34.0485949	-118.2404136	347 E 2nd St, Los Angeles, CA  90012, United States
88Pc Cafe	Internet Cafe	$	34.0507169	-118.3088946	1100 S Western Ave, Los Angeles, CA  90006, United States
Jam Jam Tea Lab	Bubble Tea Shop		34.1455262	-118.1509313	16 W Colorado Blvd, Pasadena, CA  91105, United States
Yala Coffee	Coffee Shop		34.0911293	-118.2793471	3814 W Sunset Blvd, Los Angeles, CA  90026, United States
Molly Tea Arcadia	Bubble Tea Shop		34.1268109	-118.0543077	1130 S Baldwin Ave, Unit 5, Arcadia, CA  91007, United States
Gentle Monster	Sunglasses Store	$$$	34.0431924	-118.254914	816 S Broadway, Los Angeles, CA  90014, United States
About Time	Coffee Shop		34.0620321	-118.2939489	3287 Wilshire Blvd, Ste B, Los Angeles, CA  90010, United States
Elite Gaming Club	Internet Cafe		34.0636931	-118.3095817	555 S Western Ave, #204, Los Angeles, CA  90020, United States
Damo	Coffee Shop	$$	34.057268	-118.3070736	3510 W 8th St, Los Angeles, CA  90005, United States
Yi Mei	Taiwanese Cuisine	$	34.1315246	-118.0194373	943 W Duarte Rd, Monrovia, CA  91016, United States
Petit Trois	French Cuisine	$$$	34.0842018	-118.3382215	718 N Highland Ave Los Angeles, CA 90036 United States
Sono Felice by Christine	Hair Salon	$$	34.055138	-118.3086654	928 S Western Ave, Unit 323, Los Angeles, CA 90006, United States
BCD Tofu House	Korean Cuisine	$$	34.0560869	-118.3094821	869 S Western Ave, Unit 2, Los Angeles, CA 90005, United States
Ahgassi Gopchang	Korean Cuisine	$$$	34.0633434	-118.3039409	3744 W 6th St, Los Angeles, CA  90020, United States
Chicha San Chen	Bubble Tea Shop		34.0631813	-118.3017949	625 S Ardmore Ave, Los Angeles, CA  90005, United States
