slug	name	cat	city	rating	count	summary	r1	r2
mamie-34.0906_-118.3617	Mamie	Italian Cuisine	West Hollywood	4.6	635		I found out about Mamie through TikTok, and it was absolutely worth the hype. I’m so glad we decided to check it out. Yes, it’s on the pricier side, but completely worth it. The ingredients tasted incredibly fresh and were packed 	Paid meter street parking. Sucks but it’s worth it. We have to drive out 1-2 hours to get here. We usually go if we’re doing something in the area. We tried Di Parma first and fell in love. We’ve been hesitant to try any other san
pizzanista-34.0347_-118.2316	Pizzanista!	Pizza Restaurant	Los Angeles	4.6	1816	New York-style thin-crust pizza made with artisanal toppings in an edgy, rehabbed old building.	Kinda pricey for pizza. But good to come check it out for a date or cheat day. They have $1 cold 1 day old pizza slices. Gluten free options and fancy fountain drinks. Got 6 pizzas. Garlic knots and 2 diet cokes cost be about $50.	I’ve traveled all over the world and eaten pizza everywhere imaginable — Italy, France, New York, Chicago, all over Southern California. And yeah, New York has legendary spots, Chicago had some decent pies too, but I’m telling you
bodega-37.7849_-122.4092	Bodega	Vietnamese Cuisine	San Francisco	4.1	821		Bodega SF had been on our list for a while, especially after seeing it ranked in The Infatuation’s top 20 restaurants in San Francisco, so we were excited to finally try it. We made a reservation for a Wednesday night and were sea	Dined here for lunch with my colleagues recently since I’ve been wanting to try this place and it was great! Our reservation was at 11:30a and by then, they had a couple of customers. Since it was earlier in the day, service was s
duc-huong-sandwiches-37.3314_-121.855	Duc Huong Sandwiches	Vietnamese Cuisine	San Jose	4.5	1421	Simple takeaway offering Vietnamese sandwiches, snacks & meal loaf, plus pastries.	Ordered the barbecued pork on garlic bread and was pleasantly surprised on how crispy the vegetables were in the sandwich. We arrived to a long line of people waiting to pick up their order, while the order process was quick, the 	Duc Huong Sandwiches, San Jose (Story Rd) Long line as expected but it does by fast since there are 3 cashiers. The problem now is the wait, expect at least 25 minutes or more for your sandwiches to be prepared if you ordered a lo
garden-creamery-37.7587_-122.4204	Garden Creamery	Ice Cream Shop	San Francisco	4.7	1378	A petite, pastel-toned scoop shop serving largely organic ice creams, sorbets & pops.	A small, minimalist ice cream shop with a modern vibe and an open kitchen feel where you can see everything being made, which adds to the experience. We stopped by after dinner in the Mission, and the long line made it clear how p	I had a pretty good experience. They have great asian flavour. I tried a mix of Ube and something I can't recall now. Both were great. This is first time I tried Ube in ice cream and it was totally the highlight of my day.
stan-s-donut-shop-37.3388_-121.9729	Stan's Donut Shop	Donut Shop	Santa Clara	4.8	2183	Retro, dinerlike eatery with a basic menu of acclaimed donuts, sandwiches & soda-fountain treats.	I've been here three times. The first time, they were sold out by noon. The second time, I found out they only accept cash. The third time, I got there at 10 a.m. and still had to wait in line for almost an hour. Was it worth the 	Known for there original glazed donuts. Best when it comes out of the fryer. If you like Krispy Kreme, this is 10 times way better. There dough recipe is top notch and of course they also make various types of donuts. We went on a
parachute-bakery-37.7961_-122.3939	Parachute Bakery	Bakery	San Francisco	4.2	406		Space is beautiful; staff is super friendly and pastries were on point. I especially loved the Gochujang Pimento Cheese Twist. We got there right when it opened and the line wasn’t too bad. I would skip the latte if you like ‘em s	Such a beautiful bakery inside the Ferry Building! We tried a variety of pastries and drinks, and everything looked and tasted amazing. The pastries were flaky, fresh, and so pretty, with a great mix of sweet and savory options. T
sasa-37.7852_-122.4292	Sasa	Sushi Restaurant	San Francisco	4.4	393	Multi-course Japanese-American kaiseki & a la carte options offered in warm, modern quarters.	The food was amazing! The restaurant had a lovely ambiance with a sushi bar. We ordered the creamy scallops roll, salmon gozen bento set, and salmon taster nigiri set. Everything was delicious! Highly recommend this place, we’ll d	Came here on Tuesday night for dinner. Kinda busy, we ordered toro don, sushi moriawase, creamy salmon roll and some à la carte as well. All I can say is the FISH are all fresh. Servers are very friendly and they will check on you
hog-island-oyster-co-37.7959_-122.3935	Hog Island Oyster Co.	Seafood Restaurant		4.6	4059	Contemporary waterside seafood eatery serving local oysters and clams, plus craft cocktails.	Fantastic food, atmosphere and view. The waitress was horribly inattentive, but the other waitstaff were very helpful. The (chilled) Dungeness crab was fresh, full and sweet. Delicious! Great presentation too. Chose a dozen mixed 	WOW. The steamed seafood bowl here is on another level — so fresh and flavorful, I couldn’t get enough. Add in that stunning ocean view and the lively atmosphere, and it makes for a pretty unbeatable combo. I’d genuinely eat here 
udon-mugizo-37.7851_-122.4317	Udon Mugizo	Udon Restaurant	San Francisco	4.7	2125	Simply decorated Japanese noodle specialist serves up a menu of udon, tempura & mochi.	This restaurant is tucked into a mall in Japantown and really delivers on flavor! The udon was fresh and delicious and the onigiri appetizer was one of my favorite things anywhere. I got the nabeyaki udon and really enjoyed the mu	Peak lunch was about a 30min wait so we were shopping diff stores in the mall. The food came out quick. I def recommend the mentaiko creamy udon which is light and has seafood taste and the curry udon for a beefy rich taste. The n
pineapple-king-bakery-37.7634_-122.4785	Pineapple King Bakery	Bakery	San Francisco	4.5	1137	Bustling, informal Hong Kong—style bakery popular for its pineapple buns & milk puddings.	Their bread is just unbelievably good, its really soft and they will served it freshly made so you will have it warmed. They have wide variations or selections that you can choose from and you wont regret any of it because they ar	Pineapple King Bakery is known for the delicious pineapple buns in San Francisco. We were in town for a few days and we went there after early dinner in new Chinatown to pick up some buns to go. There was a line around 15 people t
san-tung-37.7637_-122.469	San Tung	Chinese Cuisine	San Francisco	4.4	2604	Famed dry fried chicken wings, handmade noodles & other Chinese eats in a no-frills setting.	The San Tung Chinese restaurant sure smacks out some amazing Char Siu Chicken, and the Potsickers were simply amazing! This restaurant is far underrated, my old pal Albino Bob raved about it so much...I just had to go! It was well	It's packed and it may take bit to be seated. You write your name and party size on the white board. The dry fried chicken wings are the best chicken wings I've had. Juicy and crunchy with a nice sweet glaze. The green beans, dry 
bacio-di-latte-34.146_-118.1524	Bacio di Latte	Gelato Shop	Pasadena	4.5	125		Bacio di Latte Gelato is on the pricier side (about $10 dollars for this tiny cup) and, unfortunately, nothing particularly special. The gelato was a bit too sweet for my taste, lacking the balance I was hoping for. That said, the	10/10 The staff here was amazing and super helpful, for being my first time they were patient and all their suggestions were on point. The pistachio and Nutella dipped cone was worth the money! The crema Torino ice cream was defin
sweet-please-37.3369_-121.8887	Sweet Please	Dessert Shop	San Jose	4.7	12		I've finally found my go-to cake shop! Sweet Please is absolutely amazing. They constantly refresh their menu with new and exciting creations, so there's always something tempting to try. But the best part is that they use incredi	It's a little cake kitchen but the taste and look of their bakeries and cakes are just amazing!! I've ordered over five time's and the cakes never disappoint me! Finally find my go to place at bay area, they are the best! Attachin
mitchell-s-ice-cream-37.7442_-122.4228	Mitchell's Ice Cream	Ice Cream Shop	San Francisco	4.7	4262	Family-owned ice cream shop scoops classic & creative flavors made in small batches on the premises.	Great old-school ice cream parlor experience with great ice cream and innovative flavors. If you’re looking for a new flavor combination to try, I highly suggest ordering a two-scoop sundae (hold the hot fudge) with one scoop of M	Listen- this is coming from someone with a dairy intolerance and this place is great. While they do have a smaller selection for “vegan” they do a splendid job at the flavors. I couldn’t decide between vegan matcha or strawberry, 
mashti-malone-s-34.0987_-118.3449	Mashti Malone's	Ice Cream Shop	Los Angeles	4.7	355		BEST ICE CREAM IN LA. Hands down. Both the classic American flavors and some incredible (and much older recipes!) Persian options. Some personal favorites include Herbal Snow, Faloodeh, and cookies and cream (with or without mint)	You would never expect this little place to be such a gem. The ice cream was amazing and unique. Very creamy. A few vegan flavors too. Even creamy ones. My saffron pistachio and my mom's rose water were amazing.
